lat,lon,year,AGB,clay,sand,silt,elev,annual_precip,peat_frac,Hydraulic_Stress,NDVI,precip_clay_interaction,groundwater_depth
-2.625,112.0416667,1995,140.2524985,381,281,340,49,3128.0786101818085,6.998666731000252,0.999498997995992,0.7804352045059204,1191797.950479269,308.32173411051434
-2.625,112.0416667,1996,140.3324995,381,281,340,49,3068.7682695388794,6.998666731000252,0.99949924887331,0.8131919503211975,1169200.710694313,308.32173411051434
-2.625,112.0416667,1997,141.3524687,381,281,340,49,1983.4618616104128,6.998666731000252,0.9994994994994996,0.6281934976577759,755698.9692735673,308.32173411051434
-2.625,112.0416667,1998,136.5699871,381,281,340,49,3521.7873525619507,6.998666731000252,0.9994997498749376,0.6212905049324036,1341800.9813261032,308.32173411051434
-2.625,112.0416667,1999,140.2824994,381,281,340,49,3372.65646648407,6.998666731000252,0.9995,0.6699821949005127,1284982.1137304306,308.32173411051434
-2.625,112.0416667,2000,140.2899994,381,281,340,49,3283.766800403595,6.998666731000252,0.9995002498750624,0.7473109364509583,1251115.1509537697,308.32173411051434
-2.625,112.0416667,2001,141.6124967,381,281,340,49,3047.302161216736,6.998666731000252,0.9995004995004996,0.8257520794868469,1161022.1234235764,308.32173411051434
-2.625,112.0416667,2002,141.1799967,381,281,340,49,2407.6551327705383,6.998666731000252,0.9995007488766848,0.788,917316.6055855751,308.32173411051434
-2.625,112.0416667,2003,133.8025013,381,281,340,49,2682.879319667816,6.998666731000252,0.999500998003992,0.6835030679859422,1022177.020793438,256.75885009765625
-2.625,112.0416667,2004,143.1699917,381,281,340,49,2293.3479565382004,6.998666731000252,0.9995012468827932,0.7440891265869141,873765.5714410543,328.697998046875
-2.625,112.0416667,2005,135.6949639,381,281,340,49,2626.643719434738,6.998666731000252,0.9995014955134596,0.8214005827903748,1000751.2571046352,349.2362670898437
-2.625,112.0416667,2006,135.6149645,381,281,340,49,2656.158291101456,6.998666731000252,0.9995017438963628,0.4769673645496368,1011996.3089096547,269.4506225585937
-2.625,112.0416667,2007,135.4750013,381,281,340,49,3205.217131137848,6.998666731000252,0.9995019920318724,0.6045505404472351,1221187.72696352,333.8148498535156
-2.625,112.0416667,2008,140.0649991,381,281,340,49,3458.557082891464,6.998666731000252,0.9995022399203584,0.7587702870368958,1317710.2485816476,330.8658142089844
-2.625,112.0416667,2009,141.6399961,381,281,340,49,2720.4932680130005,6.998666731000252,0.9995024875621892,0.8067973256111145,1036507.9351129532,270.1690979003906
-2.625,112.0416667,2010,136.7249737,381,281,340,49,4283.657648324966,6.998666731000252,0.9995027349577325,0.7612654566764832,1632073.5640118122,367.7217712402344
-2.625,112.0416667,2011,134.3224657,381,281,340,49,3113.8622307777405,6.998666731000252,0.999502982107356,0.5178411602973938,1186381.5099263191,268.95977783203125
-2.625,112.0416667,2012,134.8224729,381,281,340,49,2539.423969149589,6.998666731000252,0.9995032290114256,0.7924,967520.5322459935,274.510986328125
-2.625,112.0416667,2013,134.7799601,381,281,340,49,2858.9403899908066,6.998666731000252,0.9995034756703078,0.79955459,1089256.2885864973,319.6205444335937
-2.625,112.0416667,2014,132.8199537,381,281,340,49,2587.9621126651764,6.998666731000252,0.9995037220843672,0.099887344,986013.5649254322,243.7377166748047
-2.625,112.0416667,2015,134.5849675,381,281,340,49,2502.4383487701416,6.998666731000252,0.9995039682539684,0.633703744,953429.010881424,237.36181640625
-2.625,112.0416667,2016,134.1049708,381,281,340,49,3481.3340215682983,6.998666731000252,0.9995042141794744,0.692574825,1326388.2622175217,342.9263000488281
-2.625,112.0416667,2017,125.3524347,381,281,340,49,3217.3322880268097,6.998666731000252,0.9995044598612488,0.735784083,1225803.6017382145,345.732421875
-2.625,112.0416667,2018,130.1024355,381,281,340,49,2768.4958594698373,6.998666731000252,0.9995047052996532,0.700622892,1054796.922458008,328.5901184082031
-2.625,112.0416667,2019,127.5599342,381,281,340,49,2295.6883184241306,6.998666731000252,0.9995049504950496,0.802242928,874657.2493195938,318.99609375
-2.625,112.0416667,2020,135.9549406,381,281,340,49,3826.488522890024,6.998666731000252,0.999505195447798,0.28398318,1457892.127221099,362.6401672363281
-2.708333333,112.4583333,1993,90.82002438,369,257,375,29,2733.430015563965,8.67435134514654,0.9994984954864594,0.5289106369018555,1008635.675743103,261.2054892645942
-2.708333333,112.4583333,1994,88.97752279,369,257,375,29,2508.914229393006,8.67435134514654,0.999498746867168,0.4362644851207733,925789.3506460191,261.2054892645942
-2.708333333,112.4583333,1995,88.55501857,369,257,375,29,3185.235365629196,8.67435134514654,0.999498997995992,0.5829159617424011,1175351.8499171734,261.2054892645942
-2.708333333,112.4583333,1996,89.71002386,369,257,375,29,3004.618383646012,8.67435134514654,0.99949924887331,0.5515761971473694,1108704.1835653784,261.2054892645942
-2.708333333,112.4583333,1997,81.03000558,369,257,375,29,1851.248185873032,8.67435134514654,0.9994994994994996,0.4854185283184051,683110.5805871488,261.2054892645942
-2.708333333,112.4583333,1998,78.69500096,369,257,375,29,3220.1335411071777,8.67435134514654,0.9994997498749376,0.552161694,1188229.2766685486,261.2054892645942
-2.708333333,112.4583333,1999,81.58250833,369,257,375,29,3090.809625387192,8.67435134514654,0.9995,0.4706510901451111,1140508.751767874,261.2054892645942
-2.708333333,112.4583333,2000,85.51751422,369,257,375,29,3228.146310567856,8.67435134514654,0.9995002498750624,0.5835556387901306,1191185.9885995388,261.2054892645942
-2.708333333,112.4583333,2001,92.16502689,369,257,375,29,2934.6439864635468,8.67435134514654,0.9995004995004996,0.6466631889343262,1082883.6310050488,261.2054892645942
-2.708333333,112.4583333,2002,94.66002654,369,257,375,29,2444.1687257289886,8.67435134514654,0.9995007488766848,0.6381,901898.2597939968,261.2054892645942
-2.708333333,112.4583333,2003,77.2324977,369,257,375,29,2732.423328399658,8.67435134514654,0.999500998003992,0.5844065308433521,1008264.2081794739,221.18028259277344
-2.708333333,112.4583333,2004,78.64000106,369,257,375,29,2369.201403856277,8.67435134514654,0.9995012468827932,0.4798882305622101,874235.3180229663,237.70706176757807
-2.708333333,112.4583333,2005,78.74500024,369,257,375,29,2488.4256060123444,8.67435134514654,0.9995014955134596,0.3513307273387909,918229.0486185551,271.41424560546875
-2.708333333,112.4583333,2006,76.02999744,369,257,375,29,2577.8548871278763,8.67435134514654,0.9995017438963628,0.2552438378334045,951228.4533501863,243.06741333007807
-2.708333333,112.4583333,2007,47.65750018,369,257,375,29,3126.485363006592,8.67435134514654,0.9995019920318724,0.61270541,1153673.0989494324,264.4679260253906
-2.708333333,112.4583333,2008,70.39749426,369,257,375,29,3457.283644199372,8.67435134514654,0.9995022399203584,0.5796982645988464,1275737.6647095683,269.7929992675781
-2.708333333,112.4583333,2009,78.91250086,369,257,375,29,2727.2328672409058,8.67435134514654,0.9995024875621892,0.6471932530403137,1006348.9280118942,240.49420166015625
-2.708333333,112.4583333,2010,82.7900085,369,257,375,29,4278.675091505051,8.67435134514654,0.9995027349577325,0.7202622890472412,1578831.1087653637,332.27166748046875
